date,A/B Testing,AI for Social Good,AI in Education,AI in Gaming,AI in Healthcare,ARIMA,Ablation,Accuracy,Action,Action Recognition,Agent,Algorithmic Bias,Anomaly Detection,Ar,Artificial Intelligence,Attention,Attention Maps,Automl,BERT,Backpropagation,Batch,Batch Normalization,Batch Size,Bayesian Neural Network,Bidirectional,Binary Condition,Binning,Boosting,Bounding Box,Calibration Layer,Candidate Generation,Cassandra,Centroid,Chatbots,Class,Clipping,Computer Vision,Condition,Configuration,Contrastive Learning,Convenience Sampling,Convergence,Convolution,Convolutional Neural Network,Convolutional Operation,Cost,Critic,CycleGAN,Data Analysis,Data Compression,Data Efficiency,Data Fusion,Data Governance,Data Integration,Data Labeling,Data Matching,Data Privacy,Data Synthesis,Data Transformation,Data Warehousing,Dataframe,Decision Forest,Decision Threshold,Decoder,Deep Model,Deep Neural Network,Deep Reinforcement Learning,Depth,Device,Dimensions,Disparate Impact,Disparate Treatment,Divisive Clustering,Document Analysis,Domain Adaptation,Edge AI,Edit Distance,Efficient Neural Networks,Encoder,Ensemble,Environment,Episode,Epoch,Evaluation Metrics,Example,Experience Replay,F1,F1 Score,Feature,Feature Cross,Feature Engineering,Feature Vector,Fingerprint Recognition,Flax,Forecasting,Fraud Detection,Fully Connected Layer,Game Playing AI,Game Theory and AI,Gan,Generalization,Generative Model,Generator,GloVe,Gradient Clipping,Gradient Descent,Graph,Graph Neural Networks,Hallucination,Hashing,Heuristic,Hidden Layer,Hierarchical Clustering,Hyperparameter Tuning,Imbalanced Data,Implicit Bias,Imputation,Individual Fairness,Inference,Information Extraction,Information Gain,Instance,Interpretability,Intersection Over Union (Iou),Iou,Iris Recognition,Item Matrix,Items,Iteration,Jax,Jupyter,K-Fold Cross Validation,K-Means,Keras,Keypoints,Knowledge Transfer,Label,Lambda,Landmarks,Language Model,Language Translation,Latent Dirichlet Allocation,Layer,Leaf,Learning Rate,Least Squares Regression,Linear,Linear Model,Linear Regression,Lit,Log Loss,Logistic Regression,Loss,Loss Curve,Loss Surface,Lstm,Machine Learning,Majority Class,Malware Detection,Matplotlib,Matrix Factorization,Mesh,Meta Learning,Metric,Minority Class,Missing Data,Ml,Mnist,Model,Model Capacity,Model Training,Momentum,MongoDB,Motion Planning,Multi-task Learning,Multiclass Classification,N-Gram,Natural Language Processing,Negative Class,Negative Sampling,Neural Network,Neuron,Nlu,NoSQL,Noise,Novelty Detection,Numerical Data,Numpy,Object Detection,Objective,Objective Function,Offline,One-Hot Encoding,Online,Output Layer,Packed Data,Pandas,Parameter,Partial Derivative,Participation Bias,Pax,Perceptron,Performance,Pipeline,Policy,Pooling,Positive Class,Praxis,Precision,Prediction,PyTorch,Quantile,ROC Curve,Rank (Tensor),Ranking,Recall,Recommendation System,Regression Model,Reinforcement Learning,Reinforcement Learning (Rl),Replica,Responsible AI,Retrieval-Augmented Generation,Return,Reward,Root,Rotational Invariance,SQL,Sampling Bias,Saver,Scaling,Seaborn,Selection Bias,Sequence Model,Shape (Tensor),Shrinkage,Similarity Measure,Smart Cities,Spark,Speech Recognition,Split,State,Static,Static Inference,Stationarity,Step,Step Size,Stride,Summary,T5X,Target,Target Network,Task,Temperature,Tensor,TensorFlow,Test,Text Classification,Text Span,Text-to-Speech,Timestep,Token,Topic Modeling,Tower,Training,Training Set,Transfer Learning,Transformer,Transformer Models,Trigram,UMAP,User Behavior Analytics,Variational Autoencoders,Video Analysis,Virtual Reality and AI,Weight,Weighted Sum,Width,Word2Vec,XGBoost,t-SNE
2021-10-24,43,0,7,17,27,64,25,57,90,27,51,22,59,75,21,80,7,49,78,10,38,56,18,13,67,24,22,47,59,7,5,31,49,48,67,76,68,68,77,16,27,65,54,50,0,86,56,25,66,26,8,30,74,70,47,31,65,36,74,39,63,56,4,67,56,14,50,41,79,78,14,35,5,16,54,22,35,0,62,70,51,53,28,8,75,16,45,48,28,36,60,12,10,63,18,32,10,0,0,61,41,11,64,66,4,21,64,39,72,56,72,48,22,49,11,24,48,25,37,9,22,69,23,3,36,3,15,81,73,63,59,12,27,32,10,14,81,30,46,39,71,16,77,89,66,66,76,20,54,85,14,66,81,57,21,64,63,9,10,12,17,81,19,60,17,40,78,10,92,56,64,56,51,40,9,36,20,22,50,20,11,27,27,61,54,0,22,13,59,68,69,76,32,66,28,9,57,16,73,7,67,57,75,14,80,72,21,73,87,26,54,15,24,21,57,18,38,50,63,10,74,22,0,67,17,73,27,40,56,46,44,33,79,64,16,75,12,28,61,65,68,71,76,0,10,85,73,20,68,13,47,50,82,39,71,41,52,5,41,55,21,86,12,40,72,38,52,54,7,13,9,0,16,67,3,75,13,23,44,56,37
2021-10-31,41,4,8,18,13,66,26,54,81,34,50,17,51,69,18,71,5,49,73,10,35,54,17,21,56,33,20,48,52,4,0,28,38,47,46,71,65,62,67,14,26,63,56,42,16,81,54,14,51,16,7,19,72,64,49,27,59,20,47,33,55,40,3,56,48,12,63,44,78,72,10,41,3,13,48,21,48,4,57,75,45,50,30,7,64,12,33,44,25,28,53,7,13,56,16,25,8,0,8,60,42,7,57,66,7,21,56,50,68,47,65,49,16,35,12,25,42,16,35,6,21,62,20,4,33,13,8,78,70,73,54,12,22,32,6,13,83,26,45,35,61,15,70,85,60,53,71,17,50,87,16,57,71,67,17,56,53,7,9,11,15,82,24,56,9,33,73,11,79,51,60,50,49,24,10,32,27,19,36,23,10,24,24,56,56,8,21,12,60,61,59,69,48,69,28,8,55,17,56,7,64,48,73,14,72,66,13,67,81,26,53,14,28,24,60,16,39,46,66,8,67,8,0,63,46,65,12,33,53,51,38,34,71,49,15,60,7,25,59,56,60,71,62,0,15,81,57,18,61,11,47,55,76,40,62,40,53,5,31,49,18,98,15,39,68,37,45,50,5,17,12,6,5,56,3,74,16,21,41,52,28
2021-11-07,42,8,7,7,18,68,28,59,89,28,53,24,61,70,21,78,9,49,60,10,39,52,20,19,65,45,24,49,69,7,5,34,43,60,66,80,64,66,72,13,22,89,65,56,0,87,56,35,60,25,10,25,75,73,43,33,65,19,62,44,65,49,3,54,49,18,52,40,74,80,10,55,0,16,46,15,57,6,64,79,51,59,28,10,69,36,61,56,26,31,50,10,13,60,18,28,11,6,0,63,43,10,64,77,5,24,62,57,77,57,72,61,14,39,15,23,50,15,37,7,22,65,24,4,38,20,19,79,75,68,65,10,27,33,7,11,77,30,47,38,66,15,75,100,66,50,75,20,54,91,18,66,71,55,17,62,64,7,9,13,14,92,26,64,14,36,97,11,86,62,65,56,56,38,8,40,20,18,45,23,12,28,27,65,54,5,20,15,60,68,68,80,28,66,32,13,63,17,56,13,65,75,77,16,79,70,19,73,86,22,59,13,26,25,54,15,37,53,66,11,74,21,0,66,22,72,0,37,51,49,42,28,75,67,17,65,9,28,65,61,61,74,74,4,20,80,67,20,72,3,49,61,74,42,65,43,59,6,35,56,18,98,14,44,74,41,51,56,1,12,9,18,11,62,0,77,11,22,50,57,39
2021-11-14,35,4,11,8,19,64,25,55,84,35,53,44,56,67,21,74,6,46,46,10,38,46,21,22,65,36,20,46,55,0,0,26,47,54,60,73,65,65,82,11,25,82,56,55,20,76,55,42,57,22,8,28,77,75,54,24,71,31,64,45,61,38,3,54,56,14,60,37,76,69,9,41,2,13,41,24,77,0,64,78,47,51,27,13,66,24,63,57,26,42,54,10,15,56,18,32,14,5,0,56,38,11,59,63,7,19,62,56,71,60,68,56,19,51,13,24,43,14,37,5,24,63,20,0,37,19,24,77,71,60,66,10,31,35,8,13,82,28,46,35,65,15,72,87,55,57,75,19,51,85,15,64,75,78,18,62,65,9,12,13,15,89,20,57,11,36,74,13,80,57,65,51,59,35,9,44,17,22,45,25,11,25,25,67,50,0,18,12,56,64,77,75,34,62,31,0,59,16,56,7,57,56,71,15,75,68,18,79,79,20,56,13,27,16,52,14,43,54,62,15,71,18,0,63,15,66,0,39,46,48,44,26,65,56,22,69,9,28,56,65,60,66,68,0,20,82,63,18,67,8,49,56,67,43,57,41,53,6,37,50,16,87,16,41,68,38,48,50,4,11,10,10,12,59,0,68,18,21,44,54,23
2021-11-21,35,0,7,10,16,56,19,56,75,31,47,35,50,71,21,68,7,39,42,10,36,47,16,8,68,28,21,45,56,11,5,27,36,54,60,72,64,59,66,12,26,68,48,48,11,78,52,31,55,20,9,21,67,67,44,22,56,21,53,40,52,46,5,50,50,15,52,36,70,75,8,43,0,14,35,19,59,2,56,75,41,50,31,7,59,27,46,59,24,24,40,6,15,56,17,26,13,3,0,56,28,11,55,63,0,17,49,52,67,57,57,44,16,45,9,12,43,8,28,4,17,59,14,0,35,0,13,78,64,56,50,17,28,39,7,10,81,27,41,38,61,7,73,85,56,38,66,15,46,90,16,59,63,62,17,57,56,7,11,11,14,91,16,52,12,32,69,12,88,50,59,50,56,33,14,44,15,22,37,19,11,18,26,67,56,0,17,11,59,60,69,71,47,70,26,11,52,15,39,8,55,55,70,13,72,64,17,85,79,24,53,12,24,19,51,15,45,45,60,12,77,12,0,59,15,57,24,36,30,46,42,23,56,47,16,59,4,28,56,61,60,66,68,4,18,76,65,17,53,6,71,64,74,47,57,39,66,5,37,54,5,87,10,40,65,39,48,53,3,12,11,10,20,53,0,68,14,22,42,52,31
2021-11-28,44,5,6,0,22,60,24,62,82,28,47,47,62,74,21,76,6,52,40,11,34,46,19,12,71,28,19,48,57,4,2,27,46,50,65,73,65,66,71,13,22,74,53,54,0,80,52,21,65,22,8,31,72,78,35,26,64,20,65,35,57,60,0,56,48,14,54,37,74,76,12,49,4,14,43,16,56,9,59,78,46,50,28,7,63,27,40,53,25,35,49,14,14,56,18,34,15,4,0,57,37,8,60,76,4,19,59,41,68,56,70,57,15,50,16,20,49,12,36,8,19,63,22,0,34,19,15,71,71,61,57,11,32,55,3,14,84,30,45,38,62,13,73,77,65,53,75,19,55,92,18,64,76,69,19,63,63,15,11,12,15,91,22,56,14,32,72,12,84,56,65,56,63,34,8,46,12,23,45,24,11,23,27,75,52,6,18,12,63,65,62,69,37,69,33,9,56,16,52,4,59,56,73,14,77,66,22,83,85,22,56,14,26,15,48,15,52,55,61,11,77,22,0,73,100,65,15,38,43,49,44,22,48,56,12,65,8,26,57,65,56,61,70,4,13,79,65,20,66,3,59,67,100,45,59,40,64,5,31,42,25,85,18,43,70,41,43,60,8,15,10,8,17,64,3,73,15,20,45,60,30
2021-12-05,49,0,8,7,20,65,25,60,88,31,52,78,62,74,22,80,0,50,42,11,40,59,20,6,69,40,24,47,70,0,4,33,47,56,71,75,68,73,73,15,34,80,62,73,0,85,59,11,66,25,10,25,76,70,46,31,65,28,62,39,61,65,6,56,52,16,64,36,81,77,14,36,3,15,46,15,55,4,66,81,49,54,34,8,68,23,95,81,26,36,55,11,8,57,19,36,12,4,3,62,43,12,64,84,4,23,60,63,73,71,79,56,17,52,13,23,50,14,38,7,25,71,20,4,41,20,15,80,75,65,57,15,31,57,7,13,77,30,47,46,67,15,80,78,83,65,77,21,62,82,22,73,75,85,18,70,62,8,11,13,22,98,25,62,14,47,78,13,90,54,75,56,57,39,15,53,14,24,51,34,12,26,28,68,54,6,20,13,65,67,77,78,41,68,34,9,62,17,66,4,59,66,78,14,81,73,20,82,87,23,57,14,31,15,48,17,51,67,69,13,78,22,4,74,14,69,0,40,52,52,46,24,73,66,21,67,10,24,63,64,68,65,70,0,14,86,73,19,70,11,57,67,97,46,62,42,63,6,45,59,17,76,12,42,76,48,59,64,4,16,10,9,18,64,5,74,20,23,48,69,48
2021-12-12,46,0,8,9,24,66,24,75,79,28,51,33,57,71,22,72,0,53,39,11,38,47,19,15,62,43,21,47,63,13,3,26,39,52,66,71,67,61,75,12,26,69,56,55,0,78,53,24,57,25,9,30,72,70,46,30,54,18,65,48,56,62,4,53,56,16,53,36,76,72,12,54,6,13,32,20,40,6,64,71,45,54,33,6,59,24,95,62,25,31,52,10,8,56,18,32,9,4,7,62,34,6,62,72,0,20,57,47,71,68,75,52,18,56,16,18,46,20,37,9,25,66,25,0,39,13,14,72,71,62,53,15,31,32,5,13,87,27,40,37,66,13,79,73,63,57,67,17,56,67,19,62,68,61,18,67,61,7,9,11,18,78,22,57,9,45,79,11,76,53,62,50,49,28,10,55,15,21,44,20,11,21,25,56,53,0,19,11,56,62,56,77,50,67,33,8,56,16,45,8,57,57,73,13,79,72,19,76,89,19,54,13,31,16,49,20,47,56,61,10,75,16,0,76,13,66,0,38,48,52,45,20,64,53,12,63,9,22,61,61,57,61,70,5,20,85,66,21,61,9,60,71,65,53,59,40,69,5,39,37,20,73,13,41,65,39,53,53,3,7,8,8,9,55,3,75,14,20,43,61,32
2021-12-19,25,0,3,9,13,60,18,92,70,28,49,57,50,72,17,65,5,44,37,8,37,43,16,19,52,41,16,48,54,10,4,28,26,42,63,71,56,54,61,10,10,41,45,51,28,76,50,31,39,18,7,24,59,62,31,20,44,11,49,38,46,33,3,49,50,13,53,35,74,68,4,26,0,8,43,15,47,14,56,63,34,60,28,7,39,34,24,33,18,22,40,6,14,53,14,23,13,0,0,72,21,8,59,66,3,16,36,40,66,56,45,40,10,25,10,11,31,9,25,6,12,53,21,0,42,13,19,73,56,62,43,11,23,22,7,8,78,24,34,24,63,11,72,65,47,25,41,9,34,63,12,42,68,43,11,56,55,3,7,9,13,68,15,48,7,42,83,10,80,51,56,41,45,23,8,34,4,19,36,17,10,15,28,52,55,7,8,8,52,46,35,75,43,64,26,9,48,12,26,0,50,44,63,10,65,60,13,63,78,18,48,8,15,24,43,22,47,31,54,10,70,19,0,79,13,57,0,33,21,56,38,17,35,33,12,57,7,20,60,60,56,54,57,0,9,80,44,24,44,6,75,50,47,73,52,36,77,3,33,36,15,73,14,42,59,30,36,48,11,14,8,4,6,38,0,67,10,18,32,49,20
2021-12-26,26,0,4,0,12,66,17,89,68,24,47,0,39,69,14,51,5,35,35,6,31,22,14,6,47,19,12,47,35,16,0,100,23,38,47,68,49,50,50,6,9,33,36,40,12,77,52,16,32,15,4,19,37,45,25,13,38,6,38,24,33,28,0,49,48,14,41,31,73,69,6,27,3,7,27,16,38,5,49,65,28,57,27,5,30,35,21,26,16,10,31,3,11,56,12,22,4,4,0,57,15,4,55,62,2,12,30,44,71,43,36,36,11,21,6,8,21,0,17,4,9,39,22,0,32,6,11,77,42,66,37,4,17,18,4,5,76,20,31,19,60,11,66,68,36,7,35,7,25,73,12,34,81,18,9,47,46,2,4,7,10,73,19,41,3,42,66,7,75,46,36,38,39,9,5,23,18,15,24,11,9,12,28,42,53,0,7,6,44,38,23,81,22,61,21,2,37,9,17,0,57,36,56,9,64,49,11,56,69,19,37,7,15,0,41,15,37,23,38,10,76,12,4,92,11,55,21,23,14,60,34,14,23,35,6,54,2,16,56,52,56,60,49,5,7,75,47,25,40,7,52,40,38,59,47,33,89,3,24,49,10,67,11,39,55,27,32,42,4,9,6,9,7,41,0,75,3,18,30,34,11
